Stadium,Seating Capacity,Region,Country,City,Image,Home Teams,Latitude,Longitude
Yankee Stadium,54251,North America,United States,New York City,,"New York Yankees, New York City FC",40.7127281,-74.0060152
Hrazdan Stadium ,54208,West Asia,Armenia,Yerevan,,"FC Ararat Yerevan, Ulisses FC",40.1777112,44.5126233
BORUSSIA-PARK,54057,Europe,Germany,Mönchengladbach,,Borussia Mönchengladbach,51.1947131,6.4353792
Moses Mabhida Stadium,54000,Africa,South Africa,"Durban, KwaZulu-Natal",,"AmaZulu FC, Cell C Durban Sharks",-29.861825,31.009909
Busan Asiad Main Stadium,53864,East Asia,South Korea,Busan,,Busan IPark,35.1799528,129.0752365
Estádio Estadual Jornalista Edgar Augusto Proença,53645,South America,Brazil,"Belém, Pará",,"Paysandu SC, Clube do Remo, Tuna Luso Brasileira, SC Belem",-1.45056,-48.4682453
Estadio Único Diego Armando Maradona,53600,South America,Argentina,La Plata,,,-34.9206797,-57.9537638
Adelaide Oval,53500,Oceania,Australia,"Adelaide, South Australia",,"Adelaide Crows, Port Adelaide Powers",-34.9281805,138.5999312
Docklands Stadium,53359,Oceania,Australia,"Melbourne, Victoria",,"Western Bulldogs, Essendon, St. Kilda, Carlton, North Melbourne",-37.8142454,144.9631732
Estádio Municipal João Havelange,53350,South America,Brazil,"Uberlândia, Minas Gerais",,Uberlânia EC,-18.9188041,-48.2767837
San Mamés,53332,Europe,Spain,Bilbao,,Athletic Bilbao,43.2630018,-2.9350039
Aleppo International Stadium ,53200,West Asia,Syria,Aleppo,,Al-Ittihad,36.19924,37.1637253
Estadio Nacional,53086,South America,Peru,Lima,,Peru national football team,-12.0621065,-77.0365256
Huanglong Stadium,52672,East Asia,China,"Hangzhou, Zhejiang",,Hangzhou FC,30.2489634,120.2052342
RAMS Park,52652,Europe,Turkey,Istanbul,,Galatasaray,41.006381,28.9758715
Suncorp Stadium,52500,Oceania,Australia,"Brisbane, Queensland",,"Brisbane Broncos, Queensland Maroons, Brisbane Roar FC, Queensland Reds",-27.4689682,153.0234991
St. James' Park,52405,Europe,England,"Newcastle upon Tyne, North East",,Newcastle United,54.9703223,-1.5999452
Kings Park Stadium,52000,Africa,South Africa,"Durban, KwaZulu-Natal",,"Lamontville Golden Arrows, Cell C Durban Sharks",-29.861825,31.009909
Newlands Stadium,51900,Africa,South Africa,"Cape Town, Western Cape",,,-33.928992,18.417396
Hampden Park,51866,Europe,Scotland,Glasgow,,"Scotland national football team, Queen's Park",55.861155,-4.2501687
Estadio Monumental de Maturín ,51796,South America,Venezuela,Maturín,,Monagas Sport Club,9.7422774,-63.1888854
Loftus Versfeld Stadium,51762,Africa,South Africa,"Pretoria, Gauteng",,SuperSport United and Vodacom Pretoria Bulls,-25.7459277,28.1879101
Aviva Stadium ,51700,Europe,Ireland,Dublin,,"Leinster Rugby, Republic of Ireland national football team, Ireland national rugby union team",53.3493795,-6.2605593
Guiyang Olympic Sports Centre Stadium,51638,East Asia,China,"Guiyang, Guizhou",,,26.559901,106.6987409
Hohhot City Stadium,51632,East Asia,China,"Hohhot, Inner Mongolia",,,40.8340827,111.6730521
